32870	17744	63482	66115	26430	114597	2045	221	3072	1018	136	1458
24284	12119	45897	49157	17500	83384	1402	139	2040	864	102	1215
18966	9755	35796	38452	14797	64805	1215	119	1778	645	78	894
12602	5855	24286	26691	8855	45501	819	78	1243	459	47	675
14886	9079	28055	29496	13555	49690	870	122	1259	399	67	576
15934	8439	30225	32837	13548	56059	1006	115	1489	556	71	808
15259	9097	29589	29819	12821	50612	859	109	1268	498	66	702
12019	5238	23008	24108	7899	40924	679	58	1019	372	34	535
13345	7502	26290	25586	10145	44370	705	77	1009	364	44	514
12830	6251	24844	25644	9291	43743	761	79	1123	414	51	613
19501	10386	37972	39301	15374	68836	1077	117	1705	533	66	770
17326	10892	33013	34224	15669	57731	1014	118	1542	593	77	870
5800	3338	10966	11602	4764	19377	310	35	446	180	38	263
10214	6050	19610	20315	8306	34693	559	64	826	293	44	416
11590	6580	21926	23013	10120	39138	687	100	981	393	55	561
15313	8041	29799	27835	10428	48731	730	62	1104	451	45	626
19284	10706	37720	36652	14463	63528	1024	104	1583	583	77	882
5358	3368	10494	11034	4795	18676	299	33	423	180	20	241
22240	11288	45981	42285	12697	75630	1371	86	2198	603	62	893
8864	5412	17477	16611	7273	28942	460	51	703	238	42	344
3705	1658	7758	6948	2440	12622	190	21	296	91	7	141
7554	4778	15316	13667	6352	24406	369	44	555	213	30	319
