gene	count
ENSG00000165912	1
ENSG00000165995	1
ENSG00000166743	1
ENSG00000166747	1
ENSG00000167460	1
ENSG00000167548	1
ENSG00000167721	1
ENSG00000168028	1
ENSG00000168778	1
ENSG00000169499	1
ENSG00000170160	1
ENSG00000170242	1
ENSG00000170906	1
ENSG00000171132	1
ENSG00000171314	1
ENSG00000171502	1
ENSG00000172115	1
ENSG00000174093	1
ENSG00000174469	1
ENSG00000174799	1
ENSG00000174827	1
ENSG00000175387	1
ENSG00000176783	1
ENSG00000177156	1
ENSG00000177600	1
ENSG00000180777	1
ENSG00000181163	1
ENSG00000181929	1
ENSG00000182095	1
ENSG00000182621	1
ENSG00000183354	1
ENSG00000183765	1
ENSG00000183914	1
ENSG00000184445	1
ENSG00000185261	1
ENSG00000185842	1
ENSG00000186439	1
ENSG00000187240	1
ENSG00000187323	1
ENSG00000187522	1
ENSG00000188219	1
ENSG00000188641	1
ENSG00000188647	1
ENSG00000188906	1
ENSG00000196586	1
ENSG00000196712	1
ENSG00000197121	1
ENSG00000197136	1
ENSG00000197386	1
ENSG00000197563	1
ENSG00000197728	1
ENSG00000197893	1
ENSG00000197930	1
ENSG00000197969	1
ENSG00000198355	1
ENSG00000198382	1
ENSG00000198399	1
ENSG00000198420	1
ENSG00000198554	1
ENSG00000198586	1
ENSG00000198626	1
ENSG00000198648	1
ENSG00000198848	1
ENSG00000203943	1
ENSG00000204262	1
ENSG00000205038	1
ENSG00000205359	1
ENSG00000205726	1
ENSG00000211460	1
ENSG00000213585	1
ENSG00000213759	1
ENSG00000213995	1
ENSG00000227345	1
ENSG00000241186	1
ENSG00000241973	1
ENSG00000243414	1
ENSG00000243678	1
ENSG00000243716	1
ENSG00000251201	1
ENSG00000253729	1
ENSG00000254685	1
ENSG00000254999	1
ENSG00000258941	1
ENSG00000261915	1
ENSG00000264424	1
ENSG00000272822	1
ENSG00000177879	2424
ENSG00000070756	2293
ENSG00000122565	1915
ENSG00000139372	1896
ENSG00000004455	1498
ENSG00000180228	1196
ENSG00000165480	758
ENSG00000092445	559
ENSG00000168958	519
ENSG00000111640	169
ENSG00000115539	123
ENSG00000137414	121
ENSG00000118564	101
ENSG00000149531	94
ENSG00000171204	88
ENSG00000092199	78
ENSG00000015479	64
ENSG00000148408	54
ENSG00000166377	54
ENSG00000088256	47
ENSG00000104341	43
ENSG00000133872	38
ENSG00000101166	31
ENSG00000197756	25
ENSG00000048028	24
ENSG00000102978	20
ENSG00000111615	18
ENSG00000087053	15
ENSG00000052723	13
ENSG00000111670	12
ENSG00000130255	12
ENSG00000149100	12
ENSG00000071082	11
ENSG00000102317	10
ENSG00000141568	10
ENSG00000149357	10
ENSG00000090054	9
ENSG00000124562	9
ENSG00000118600	7
ENSG00000101220	6
ENSG00000104408	6
ENSG00000120438	6
ENSG00000132603	6
ENSG00000101444	5
ENSG00000107438	5
ENSG00000121579	5
ENSG00000134222	5
ENSG00000163467	5
ENSG00000197020	5
ENSG00000115541	4
ENSG00000120137	4
ENSG00000147274	4
ENSG00000065361	3
ENSG00000111669	3
ENSG00000116489	3
ENSG00000119335	3
ENSG00000136144	3
ENSG00000166454	3
ENSG00000169062	3
ENSG00000171055	3
ENSG00000176915	3
ENSG00000186298	3
ENSG00000187742	3
ENSG00000075624	2
ENSG00000086475	2
ENSG00000113721	2
ENSG00000141646	2
ENSG00000143494	2
ENSG00000149273	2
ENSG00000151914	2
ENSG00000155744	2
ENSG00000156467	2
ENSG00000167004	2
ENSG00000182899	2
ENSG00000196419	2
ENSG00000197958	2
ENSG00000204628	2
ENSG00000003402	1
ENSG00000065809	1
ENSG00000066027	1
ENSG00000074219	1
ENSG00000100316	1
ENSG00000103495	1
ENSG00000104613	1
ENSG00000106028	1
ENSG00000106636	1
ENSG00000111247	1
ENSG00000117245	1
ENSG00000118816	1
ENSG00000121570	1
ENSG00000123505	1
ENSG00000125144	1
ENSG00000128699	1
ENSG00000132122	1
ENSG00000132819	1
ENSG00000133112	1
ENSG00000134333	1
ENSG00000134453	1
ENSG00000136888	1
ENSG00000137700	1
ENSG00000140319	1
ENSG00000143436	1
ENSG00000145741	1
ENSG00000146776	1
ENSG00000147050	1
ENSG00000150459	1
